d w z t
68 43 0 0
68 16 0 0
92 43 4 0
92 9 0 1
86 43 2 0
86 14 2 0
123 3 0 0
123 2 0 0
123 2 0 0
123 42 0 1
123 2 0 1
123 43 0 0
123 9 0 0
123 12 0 0
151 43 2 0
131 8 0 0
131 11 0 0
131 43 0 0
131 8 0 0
131 25 0 0
93 19 2 0
93 25 0 1
93 21 0 1
93 27 0 1
93 43 0 1
93 9 0 2
35 21 2 0
35 5 2 0
35 19 2 0
35 21 2 0
35 4 2 0
35 43 2 0
35 13 2 0
22 43 0 0
22 1 1 1
22 12 0 2
22 42 0 2
62 6 2 0
62 35 2 0
62 35 2 0
62 24 2 0
62 6 2 0
62 6 2 0
62 43 2 0
62 35 2 0
85 31 0 0
85 43 0 1
89 43 2 0
89 35 2 0
89 21 2 0
36 26 4 0
36 1 4 0
36 29 1 1
36 39 4 0
36 30 4 0
36 43 4 0
148 22 1 0
148 43 0 1
148 13 1 0
148 7 1 0
148 9 0 1
120 15 1 0
120 43 0 1
110 10 1 1
110 18 1 0
110 34 1 0
110 39 1 0
110 29 1 0
110 32 1 0
110 43 1 0
110 22 1 0
110 39 1 0
188 31 0 0
188 43 0 0
25 26 4 1
25 13 1 0
25 3 4 1
25 43 1 0
25 34 1 0
25 32 1 0
25 29 1 0
54 33 4 0
54 4 1 1
54 37 1 1
54 43 1 1
26 33 4 0
26 21 4 0
26 43 4 0
26 33 4 0
26 2 4 0
26 26 4 0
26 3 4 0
26 26 4 0
26 24 4 0
149 1 1 0
149 43 0 1
149 22 1 0
194 25 0 0
194 41 0 0
194 43 0 0
162 28 2 0
162 43 0 1
126 3 0 0
126 43 0 1
126 18 0 0
126 3 0 2
126 2 0 0
126 3 0 0
126 11 0 0
196 27 0 0
196 25 0 0
196 43 0 0
196 21 0 0
196 9 0 0
196 19 0 0
116 2 0 0
116 9 0 1
116 2 4 2
116 33 4 2
116 7 4 2
116 43 4 2
45 43 4 1
45 9 1 0
45 22 1 0
45 13 1 0
45 7 1 0
163 5 2 0
163 28 2 0
163 43 2 0
163 6 2 0
23 3 0 0
23 43 0 1
23 2 0 1
23 3 0 1
23 3 0 1
23 18 0 0
23 11 0 1
203 28 2 0
203 43 2 0
203 24 2 1
136 43 4 0
136 36 1 1
79 12 0 0
79 42 0 0
79 39 0 0
79 34 0 0
79 43 0 0
199 17 0 1
199 27 0 0
199 17 0 0
199 24 0 0
199 43 0 0
76 17 0 0
76 43 1 1
72 8 0 0
72 25 0 0
72 8 0 1
72 8 0 1
72 43 0 1
72 8 0 1
72 18 0 1
8 5 0 0
8 43 0 0
8 26 1 1
8 29 1 1
8 9 0 2
117 34 1 0
117 15 1 0
117 43 1 0
117 15 1 0
117 13 1 0
153 43 0 0
74 43 0 0
74 8 0 0
4 20 1 0
4 38 1 1
4 39 1 0
4 37 1 0
4 38 1 1
4 36 1 1
4 43 1 0
4 37 1 1
4 34 1 1
4 38 1 0
61 17 0 0
61 8 0 0
61 24 0 0
61 8 0 0
61 43 0 0
61 8 0 0
61 39 0 0
61 9 0 0
61 2 0 0
109 43 1 0
109 32 1 0
109 13 1 0
109 38 1 0
129 26 4 0
129 2 4 0
129 43 4 0
129 33 4 0
129 21 4 0
129 24 4 0
129 26 4 0
129 3 4 0
129 33 4 0
112 32 1 0
112 34 1 1
112 34 1 0
112 43 1 0
112 32 1 0
112 15 1 0
112 13 1 0
47 43 0 0
47 8 0 0
47 18 1 1
47 34 1 1
47 2 0 0
47 11 0 0
87 9 0 0
87 31 0 0
87 43 0 0
87 31 0 1
198 41 0 0
198 43 2 1
198 41 0 0
198 9 0 0
198 35 2 1
198 24 0 0
29 43 0 0
29 8 0 0
29 9 0 1
29 11 0 1
29 18 0 1
128 32 1 1
128 29 4 0
128 43 1 1
128 13 1 1
128 26 4 0
128 34 1 1
128 3 4 0
170 43 4 0
147 43 0 0
140 25 0 0
140 43 0 1
140 10 4 2
202 43 2 0
202 28 2 0
33 43 1 0
33 36 1 0
9 34 1 0
9 13 1 0
9 32 1 0
9 15 1 0
9 43 1 0
9 34 1 0
9 32 1 0
146 43 4 0
146 8 0 1
146 14 4 0
146 14 4 0
146 26 4 0
146 9 0 1
90 23 4 0
90 43 4 0
157 33 2 1
157 4 2 0
157 37 1 2
157 43 1 2
30 12 0 0
30 43 0 0
30 2 0 0
30 24 0 0
30 42 0 0
30 3 0 0
30 9 0 0
30 10 0 0
172 36 1 0
172 43 0 1
169 43 1 0
169 34 1 0
169 9 0 1
107 37 1 0
107 37 1 0
107 38 1 0
107 43 1 0
107 38 1 0
107 38 1 0
107 34 1 0
107 39 1 0
107 36 1 0
107 20 1 0
154 41 0 0
154 43 0 1
94 43 0 0
94 18 0 0
84 29 1 0
84 31 0 1
84 43 0 1
84 37 1 0
84 3 0 1
103 1 2 0
103 20 1 1
103 43 0 2
103 40 2 0
135 15 1 1
135 3 0 0
135 43 1 1
135 7 1 1
135 36 1 1
20 3 0 0
20 43 0 0
20 2 0 0
20 42 0 1
20 9 0 1
20 2 0 1
20 12 0 1
20 2 0 1
14 15 1 0
14 43 1 0
14 15 1 0
14 34 1 0
14 13 1 0
160 23 4 0
160 43 4 0
160 23 4 0
160 2 4 0
160 23 4 0
160 19 4 0
160 21 4 0
141 43 2 0
201 28 2 0
201 28 2 0
201 43 2 0
78 43 0 0
124 19 2 1
124 43 0 0
124 3 0 0
124 9 0 0
46 22 1 0
46 1 1 0
46 43 1 0
31 21 0 1
31 30 4 0
