time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00085 0005 00389 -3738.71684 0.10000 1.00000 0 0 0
    0.00 00086 0005 00382 -3746.59026 0.10000 1.00000 0 0 0
    0.00 00087 0004 00415 -3810.60737 0.10000 1.00000 0 0 0
    0.00 00088 0004 00396 -3785.22643 0.10000 1.00000 0 0 0
    0.00 00089 0004 00380 -3777.58832 0.10000 1.00000 0 0 0
    0.00 00090 0004 00380 -3758.46075 0.10000 1.00000 0 0 0
    0.00 00091 0004 00365 -3750.47802 0.10000 1.00000 0 0 0
    0.00 00092 0004 00363 -3741.46797 0.10000 1.00000 0 0 0
    0.00 00093 0004 00369 -3759.55903 0.10000 1.00000 0 0 0
    0.00 00094 0005 00375 -3749.21267 0.10000 1.00000 0 0 0
    0.00 00095 0004 00380 -3761.84602 0.10000 1.00000 0 0 0
    0.00 00096 0004 00380 -3769.67541 0.10000 1.00000 0 0 0
    0.00 00097 0005 00379 -3746.88602 0.10000 1.00000 0 0 0
    0.00 00098 0005 00379 -3777.07536 0.10000 1.00000 0 0 0
    0.00 00099 0004 00373 -3731.08358 0.10000 1.00000 0 0 0
    0.00 00100 0004 00398 -3765.35225 0.10000 1.00000 0 0 0
    0.00 00101 0004 00401 -3788.71320 0.10000 1.00000 0 0 0
    0.00 00102 0004 00388 -3770.76594 0.10000 1.00000 0 0 0
    0.00 00103 0004 00381 -3704.89129 0.10000 1.00000 0 0 0
    0.00 00104 0005 00377 -3730.37307 0.10000 1.00000 0 0 0
    0.00 00105 0006 00387 -3778.12261 0.10000 1.00000 0 0 0
    0.00 00106 0005 00386 -3819.76108 0.10000 1.00000 0 0 0
    0.00 00107 0004 00375 -3740.23547 0.10000 1.00000 0 0 0
    0.00 00108 0004 00372 -3691.76179 0.10000 1.00000 0 0 0
    0.00 00109 0005 00375 -3736.87567 0.10000 1.00000 0 0 0
    0.00 00110 0004 00382 -3717.14414 0.10000 1.00000 0 0 0
    0.00 00111 0004 00374 -3718.67182 0.10000 1.00000 0 0 0
    0.00 00112 0004 00389 -3718.39000 0.10000 1.00000 0 0 0
    0.00 00113 0004 00389 -3740.99642 0.10000 1.00000 0 0 0
    0.00 00114 0004 00387 -3755.89327 0.10000 1.00000 0 0 0
    0.00 00115 0004 00387 -3746.95954 0.10000 1.00000 0 0 0
    0.00 00116 0004 00399 -3782.23187 0.10000 1.00000 0 0 0
    0.00 00117 0004 00385 -3755.30757 0.10000 1.00000 0 0 0
    0.00 00118 0004 00374 -3731.13789 0.10000 1.00000 0 0 0
    0.00 00119 0004 00391 -3768.72832 0.10000 1.00000 0 0 0
    0.00 00120 0004 00387 -3779.60471 0.10000 1.00000 0 0 0
    0.00 00121 0004 00388 -3765.60054 0.10000 1.00000 0 0 0
    0.00 00122 0004 00375 -3734.31643 0.10000 1.00000 0 0 0
    0.00 00123 0004 00404 -3783.70172 0.10000 1.00000 0 0 0
    0.00 00124 0004 00385 -3749.98180 0.10000 1.00000 0 0 0
    0.00 00125 0004 00370 -3716.14718 0.10000 1.00000 0 0 0
    0.00 00126 0004 00381 -3725.37342 0.10000 1.00000 0 0 0
    0.00 00127 0004 00389 -3711.42120 0.10000 1.00000 0 0 0
    0.00 00128 0005 00399 -3717.49827 0.10000 1.00000 0 0 0
    0.00 00129 0004 00390 -3756.94498 0.10000 1.00000 0 0 0
    0.00 00130 0004 00386 -3728.67778 0.10000 1.00000 0 0 0
    0.00 00131 0004 00395 -3749.44287 0.10000 1.00000 0 0 0
    0.00 00132 0004 00389 -3751.96988 0.10000 1.00000 0 0 0
    0.00 00133 0004 00398 -3745.42417 0.10000 1.00000 0 0 0
    0.00 00134 0004 00381 -3746.28714 0.10000 1.00000 0 0 0
    0.00 00135 0004 00375 -3718.71009 0.10000 1.00000 0 0 0
    0.00 00136 0004 00394 -3771.21368 0.10000 1.00000 0 0 0
    0.00 00137 0004 00384 -3789.93961 0.10000 1.00000 0 0 0
    0.00 00138 0004 00391 -3772.22549 0.10000 1.00000 0 0 0
    0.00 00139 0004 00393 -3776.60855 0.10000 1.00000 0 0 0
    0.00 00140 0004 00389 -3739.22677 0.10000 1.00000 0 0 0
    0.00 00141 0005 00392 -3748.83485 0.10000 1.00000 0 0 0
    0.00 00142 0005 00395 -3749.32121 0.10000 1.00000 0 0 0
    0.00 00143 0005 00390 -3673.53308 0.10000 1.00000 0 0 0
    0.00 00144 0005 00377 -3691.53872 0.10000 1.00000 0 0 0
    0.00 00145 0006 00393 -3718.78069 0.10000 1.00000 0 0 0
    0.00 00146 0005 00394 -3709.80468 0.10000 1.00000 0 0 0
    0.00 00147 0005 00367 -3663.22625 0.10000 1.00000 0 0 0
    0.00 00148 0005 00388 -3678.11771 0.10000 1.00000 0 0 0
    0.00 00149 0005 00374 -3708.71565 0.10000 1.00000 0 0 0
    0.00 00150 0005 00377 -3702.62162 0.10000 1.00000 0 0 0
    0.00 00151 0005 00408 -3823.24668 0.10000 1.00000 0 0 0
    0.00 00152 0005 00408 -3814.95196 0.10000 1.00000 0 0 0
    0.00 00153 0005 00401 -3765.55121 0.10000 1.00000 0 0 0
    0.00 00154 0005 00386 -3670.55803 0.10000 1.00000 0 0 0
    0.00 00155 0005 00395 -3695.85912 0.10000 1.00000 0 0 0
    0.00 00156 0005 00383 -3680.67535 0.10000 1.00000 0 0 0
    0.00 00157 0005 00398 -3746.97520 0.10000 1.00000 0 0 0
    0.00 00158 0005 00392 -3770.14128 0.10000 1.00000 0 0 0
